card_title,house,card_type,rarity,card_number,expansion
Alaka,Brobnar,Creature,Common,1,343
Alaka's Brew,Brobnar,Action,Variant,2,343
Ballcano,Brobnar,Action,Common,3,343
Barn Razing,Brobnar,Action,Common,4,343
Berserker Slam,Brobnar,Action,Common,5,343
Cowfyne,Brobnar,Creature,Common,6,343
Ganger Chieftain,Brobnar,Creature,Common,7,343
Groke,Brobnar,Creature,Common,8,343
Gron Nine-Toes,Brobnar,Creature,Common,9,343
Irestaff,Brobnar,Artifact,Common,10,343
Mogghunter,Brobnar,Creature,Common,11,343
Narp,Brobnar,Creature,Common,12,343
Shorty,Brobnar,Creature,Common,13,343
Stilt-Kin,Brobnar,Creature,Common,14,343
Tremor,Brobnar,Action,Common,15,343
Warrior's Refrain,Brobnar,Action,Common,16,343
Blood Money,Brobnar,Action,Uncommon,17,343
Flamethrower,Brobnar,Artifact,Uncommon,18,343
Flamewake Shaman,Brobnar,Creature,Uncommon,19,343
Fyre-Breath,Brobnar,Upgrade,Uncommon,20,343
Gargantes Scrapper,Brobnar,Creature,Uncommon,21,343
Gravelguts,Brobnar,Creature,Uncommon,22,343
Little Rapscal,Brobnar,Creature,Uncommon,23,343
Ogopogo,Brobnar,Creature,Uncommon,24,343
Overrun,Brobnar,Action,Uncommon,25,343
Power of Fire,Brobnar,Action,Uncommon,26,343
Ragwarg,Brobnar,Artifact,Uncommon,27,343
Shattered Throne,Brobnar,Artifact,Uncommon,28,343
Skoll,Brobnar,Creature,Uncommon,29,343
Slimy Jark,Brobnar,Creature,Uncommon,30,343
Smith,Brobnar,Action,Uncommon,31,343
The Flex,Brobnar,Action,Uncommon,32,343
Barehanded,Brobnar,Action,Rare,33,343
Bellowing Patrizate,Brobnar,Creature,Rare,34,343
Cybergiant Rig,Brobnar,Upgrade,Rare,35,343
Forgemaster Og,Brobnar,Creature,Rare,36,343
Grumpus Tamer,Brobnar,Creature,Rare,37,343
Guji Dinosaur Hunter,Brobnar,Creature,Rare,38,343
Igon the Green,Brobnar,Creature,Rare,39,343
Iron Obelisk,Brobnar,Artifact,Rare,40,343
Kaloch Stonefather,Brobnar,Creature,Rare,41,343
Lava Ball,Brobnar,Action,Rare,42,343
Mugwump,Brobnar,Creature,Rare,43,343
Nogi Smartfist,Brobnar,Creature,Rare,44,343
Old Boomy,Brobnar,Creature,Rare,45,343
Pile of Skulls,Brobnar,Artifact,Rare,46,343
Ragnarok,Brobnar,Action,Rare,47,343
Rock-Hurling Giant,Brobnar,Creature,Rare,48,343
Signal Fire,Brobnar,Artifact,Rare,49,343
The Big One,Brobnar,Artifact,Rare,50,343
The Floor is Lava,Brobnar,Artifact,Rare,51,343
War Grumpus,Brobnar,Creature,Rare,52,343
Igon the Terrible,Brobnar,Creature,Variant,53,343
Mega Alaka,Brobnar,Creature,Variant,54,343
Mega Cowfyne,Brobnar,Creature,Variant,55,343
Mega Ganger Chieftain,Brobnar,Creature,Variant,56,343
Mega Groke,Brobnar,Creature,Variant,57,343
Mega Gron Nine-Toes,Brobnar,Creature,Variant,58,343
Mega Mogghunter,Brobnar,Creature,Variant,59,343
Mega Narp,Brobnar,Creature,Variant,60,343
Mega Shorty,Brobnar,Creature,Variant,61,343
Chieftain's Brew,Brobnar,Action,Variant,62,343
Cowfyne's Brew,Brobnar,Action,Variant,63,343
